Study Number,Sample ID,Product Type,Base Ingredient,Process Type,Sample Age (Weeks),Difference From Fresh,Storage Conditions,Packaging Stabilizer Added,Transparent Window in Package,Processing Agent Stability Index,Preservative Added,Moisture (%),Residual Oxygen (%),Hexanal (ppm)
1512884,1512884-2,E,C,C,12,16.4,Warm Climate,Y,,9.00,Y,1.77,14.71,0.73
1512884,1512884-2,E,C,C,14,30.6,Warm Climate,Y,,9.00,Y,1.78,20.27,0.91
1512884,1512884-3,E,C,C,0,0.0,Warm Climate,Y,,9.00,Y,,,
1512884,1512884-3,E,C,C,14,9.3,Warm Climate,Y,,9.00,Y,,,
1512884,1512884-3,E,C,C,16,0.0,Warm Climate,Y,,9.00,Y,,,
1512884,1512884-3,E,C,C,18,3.1,Warm Climate,Y,,9.00,Y,,,
1512886,1512886-1,E,C,C,0,0.0,Warm Climate,N,,9.00,Y,,,
1512886,1512886-1,E,C,C,8,22.7,Warm Climate,N,,9.00,Y,2.20,20.74,1.00
1512886,1512886-1,E,C,C,10,31.8,Warm Climate,N,,9.00,Y,2.00,19.90,1.00
1512886,1512886-1,E,C,C,12,25.2,Warm Climate,N,,9.00,Y,2.22,20.98,1.00
1512886,1512886-1,E,C,C,14,25.0,Warm Climate,N,,9.00,Y,,,
1512886,1512886-2,E,C,C,0,0.0,Warm Climate,Y,,9.00,Y,,,
1512886,1512886-2,E,C,C,8,8.9,Warm Climate,Y,,9.00,Y,1.73,16.47,0.39
1512886,1512886-2,E,C,C,10,9.0,Warm Climate,Y,,9.00,Y,1.77,16.23,0.46
1512886,1512886-2,E,C,C,12,0.0,Warm Climate,Y,,9.00,Y,2.09,12.59,0.52
1512886,1512886-2,E,C,C,14,1.5,Warm Climate,Y,,9.00,Y,2.16,13.86,0.46
1512888,1512888-1,E,C,C,0,0.0,Warm Climate,N,,5.00,Y,,,
1512888,1512888-1,E,C,C,8,35.4,Warm Climate,N,,5.00,Y,1.64,17.18,1.00
1512888,1512888-1,E,C,C,10,34.6,Warm Climate,N,,5.00,Y,1.66,17.87,1.00
1512888,1512888-1,E,C,C,12,36.1,Warm Climate,N,,5.00,Y,1.82,18.68,1.00
1512888,1512888-1,E,C,C,14,37.6,Warm Climate,N,,5.00,Y,1.93,15.02,1.00
1512890,1512890-1,E,C,C,0,0.0,Warm Climate,Y,,5.00,Y,,,
1512890,1512890-1,E,C,C,8,22.3,Warm Climate,Y,,5.00,Y,1.68,17.72,1.00
1512890,1512890-1,E,C,C,10,21.5,Warm Climate,Y,,5.00,Y,1.54,15.11,1.00
1512890,1512890-1,E,C,C,12,23.2,Warm Climate,Y,,5.00,Y,1.68,13.66,0.98
1512890,1512890-1,E,C,C,14,31.1,Warm Climate,Y,,5.00,Y,1.71,13.31,1.00
1512890,1512890-2,E,C,C,0,0.0,Warm Climate,N,,5.00,Y,,,
1512890,1512890-2,E,C,C,8,26.9,Warm Climate,N,,5.00,Y,1.69,20.56,1.00
1512890,1512890-2,E,C,C,10,35.9,Warm Climate,N,,5.00,Y,1.79,20.35,1.00
1512890,1512890-2,E,C,C,12,36.7,Warm Climate,N,,5.00,Y,2.08,20.80,1.00
1512890,1512890-2,E,C,C,14,32.5,Warm Climate,N,,5.00,Y,,,
1512900,1512900-1,C,A,B,0,0.0,,,,18.00,,,,
1512900,1512900-1,C,A,B,4,2.2,,,,18.00,,,,
1512900,1512900-1,C,A,B,8,0.0,,,,16.00,,,,
1512900,1512900-1,C,A,B,12,0.0,,,,16.00,,,,
1513103,1513103-1,H,A,C,0,0.0,,N,,16.00,,1.51,20.80,0.53
1513103,1513103-1,H,A,C,4,3.4,,N,,16.00,,2.05,19.58,0.54
1513103,1513103-1,H,A,C,8,27.4,,N,,16.00,,2.83,20.19,0.79
1513103,1513103-1,H,A,C,12,21.2,,N,,16.00,,2.97,20.80,0.72
1513115,1513115-1,H,A,C,0,0.0,,Y,,16.00,,1.54,4.44,0.50
1513115,1513115-1,H,A,C,12,19.8,,Y,,16.00,,2.46,5.77,0.56
1513115,1513115-1,H,A,C,16,15.1,,Y,,16.00,,,,
1513116,1513116-1,H,A,C,0,0.0,,Y,,16.00,,1.68,14.74,0.52
1513116,1513116-1,H,A,C,4,9.7,,Y,,16.00,,1.87,12.71,0.53
1513116,1513116-1,H,A,C,8,17.5,,Y,,16.00,,2.47,5.86,0.61
1513116,1513116-1,H,A,C,12,20.4,,Y,,16.00,,2.73,13.32,0.65
1513116,1513116-1,H,A,C,16,36.8,,Y,,16.00,,3.43,19.44,0.85
1513116,1513116-1,H,A,C,20,27.8,,Y,,16.00,,3.96,20.86,0.98
1513116,1513116-1,H,A,C,24,34.9,,Y,,16.00,,4.09,20.92,1.00
1513130,1513130-1,H,A,C,0,0.0,,N,,16.00,,1.68,20.82,0.61
1513130,1513130-1,H,A,C,4,2.2,,N,,16.00,,2.21,20.80,0.68
1513130,1513130-1,H,A,C,8,17.8,,N,,16.00,,2.69,20.90,0.90
1513130,1513130-1,H,A,C,12,5.9,,N,,16.00,,2.95,21.01,0.81
1513280,1513280-1,H,A,C,0,0.0,High Temperature and Humidity,,,16.20,,1.20,3.60,
1513280,1513280-1,H,A,C,14,8.5,High Temperature and Humidity,,,16.20,,1.39,7.37,
1513280,1513280-1,H,A,C,16,12.9,High Temperature and Humidity,,,16.20,,1.37,6.13,
1513280,1513280-1,H,A,C,18,9.5,High Temperature and Humidity,,,16.20,,1.42,7.61,
1513280,1513280-1,H,A,C,20,16.1,High Temperature and Humidity,,,16.20,,1.43,6.64,
1513280,1513280-1,H,A,C,22,9.1,High Temperature and Humidity,,,16.20,,1.41,6.96,
1513280,1513280-1,H,A,C,24,16.4,High Temperature and Humidity,,,16.20,,2.40,13.26,
1513280,1513280-1,H,A,C,24,12.2,High Temperature and Humidity,,,16.20,,2.40,13.26,
1513280,1513280-1,H,A,C,26,14.1,High Temperature and Humidity,,,16.20,,1.40,8.38,
1513280,1513280-1,H,A,C,28,19.7,High Temperature and Humidity,,,16.20,,1.47,11.86,
1513280,1513280-2,H,A,C,0,0.0,High Temperature and Humidity,,,16.20,,1.27,3.63,
1513280,1513280-2,H,A,C,14,11.6,High Temperature and Humidity,,,16.20,,1.37,5.53,0.54
1513280,1513280-2,H,A,C,16,0.0,High Temperature and Humidity,,,16.20,,1.33,5.50,0.54
1513280,1513280-2,H,A,C,18,0.0,High Temperature and Humidity,,,16.20,,1.42,7.60,0.69
1513280,1513280-2,H,A,C,20,7.4,High Temperature and Humidity,,,16.20,,1.47,7.49,0.78
1513280,1513280-2,H,A,C,22,8.7,High Temperature and Humidity,,,16.20,,1.78,12.27,0.88
1513280,1513280-2,H,A,C,24,0.0,High Temperature and Humidity,,,16.20,,1.71,12.79,0.67
1513280,1513280-2,H,A,C,24,15.1,High Temperature and Humidity,,,16.20,,1.71,12.79,0.67
1513280,1513280-2,H,A,C,26,14.7,High Temperature and Humidity,,,16.20,,1.49,7.02,0.84
1513280,1513280-2,H,A,C,28,17.8,High Temperature and Humidity,,,16.20,,1.47,7.34,1.00
1513327,1513327-1,I,,C,0,0.0,,,,16.00,,,,
1513327,1513327-1,I,,C,14,28.4,,,,16.00,,5.60,,
1513327,1513327-1,I,,C,26,34.2,,,,16.00,,6.74,,
1513338,1513338-1,C,A,B,0,0.0,High Temperature and Humidity,N,,16.00,,,,
1513338,1513338-1,C,A,B,10,9.0,High Temperature and Humidity,N,,16.00,,1.46,,
1513338,1513338-1,C,A,B,12,17.3,High Temperature and Humidity,N,,16.00,,1.54,,
1513338,1513338-1,C,A,B,14,16.1,High Temperature and Humidity,N,,16.00,,1.61,,
1513338,1513338-1,C,A,B,16,18.2,High Temperature and Humidity,N,,16.00,,1.61,,
1513338,1513338-1,C,A,B,20,20.2,High Temperature and Humidity,N,,16.00,,1.50,,
1513338,1513338-1,C,A,B,22,19.3,High Temperature and Humidity,N,,16.00,,1.71,,
1513338,1513338-1,C,A,B,24,16.8,High Temperature and Humidity,N,,16.00,,2.02,,
1513338,1513338-1,C,A,B,26,24.5,High Temperature and Humidity,N,,16.00,,1.66,,
1513338,1513338-1,C,A,B,30,20.0,High Temperature and Humidity,N,,16.00,,1.84,,
1513340,1513340-1,G,,A,0,0.0,,Y,,18.00,,0.33,16.44,
1513340,1513340-1,G,,A,7,30.9,,Y,,18.00,,0.55,9.79,
1513340,1513340-1,G,,A,9.5,28.4,,Y,,18.00,,0.68,14.60,
1513340,1513340-1,G,,A,10,44.4,,Y,,18.00,,0.70,15.18,
1513340,1513340-2,G,,A,0,0.0,,Y,,18.00,,0.57,19.41,
1513340,1513340-2,G,,A,7,38.5,,Y,,18.00,,0.83,16.06,
1513340,1513340-2,G,,A,9.5,38.6,,Y,,16.00,,1.10,20.19,
1513340,1513340-2,G,,A,10,43.2,,Y,,16.00,,1.15,20.02,
1513368,1513368-1,E,C,C,0,0.0,Cold Climate,Y,,16.20,N,1.58,8.51,0.36
1513368,1513368-1,E,C,C,4,24.5,Cold Climate,Y,,16.20,N,1.67,6.94,0.33
1513368,1513368-1,E,C,C,7,14.4,Cold Climate,Y,,16.20,N,1.73,5.77,0.32
1513368,1513368-1,E,C,C,10,7.4,Cold Climate,Y,,16.20,N,1.80,4.60,0.30
1513368,1513368-1,E,C,C,13,32.5,Cold Climate,Y,,16.20,N,1.66,7.50,0.54
1513368,1513368-1,E,C,C,16,25.2,Cold Climate,Y,,16.20,N,1.60,7.73,0.54
1513368,1513368-1,E,C,C,19,28.4,Cold Climate,Y,,16.20,N,1.64,10.32,0.62
1513368,1513368-1,E,C,C,21,15.3,Cold Climate,Y,,16.20,N,1.71,9.03,0.53
1513368,1513368-1,E,C,C,24,10.4,Cold Climate,Y,,16.20,N,1.68,6.34,0.48
1513368,1513368-1,E,C,C,26,13.7,Cold Climate,Y,,16.20,N,,,
1513376,1513376-1,C,A,B,0,0.0,High Temperature and Humidity,N,,16.00,,,,
1513376,1513376-1,C,A,B,10,0.0,High Temperature and Humidity,N,,16.00,,2.20,,
1513376,1513376-1,C,A,B,12,10.1,High Temperature and Humidity,N,,16.00,,2.88,,
1513376,1513376-1,C,A,B,14,14.3,High Temperature and Humidity,N,,16.00,,2.42,,
1513376,1513376-1,C,A,B,16,1.8,High Temperature and Humidity,N,,16.00,,2.37,,
1513376,1513376-1,C,A,B,18,8.0,High Temperature and Humidity,N,,16.00,,2.37,,
1513376,1513376-1,C,A,B,20,12.5,High Temperature and Humidity,N,,16.00,,2.43,,
1513376,1513376-1,C,A,B,24,10.5,High Temperature and Humidity,N,,16.00,,2.92,,
1513376,1513376-1,C,A,B,26,12.9,High Temperature and Humidity,N,,16.00,,2.85,,
1513376,1513376-1,C,A,B,28,24.8,High Temperature and Humidity,N,,16.00,,2.66,,
1513376,1513376-1,C,A,B,30,27.6,High Temperature and Humidity,N,,16.00,,3.02,,
1513376,1513376-1,C,A,B,32,22.5,High Temperature and Humidity,N,,16.00,,2.72,,
1513377,1513377-1,C,A,B,0,0.0,,N,,16.00,,,,
1513377,1513377-1,C,A,B,16,13.8,,N,,16.00,,,,
1513377,1513377-1,C,A,B,18,5.4,,N,,16.00,,,,
1513377,1513377-1,C,A,B,20,9.1,,N,,16.00,,,,
1613454,1613454-1,I,A,C,0,0.0,,,,16.00,,,,
1613454,1613454-1,I,A,C,14,46.1,,,,16.00,,3.87,,
1613454,1613454-1,I,A,C,20,46.1,,,,16.00,,4.41,,
1613454,1613454-1,I,A,C,26,44.4,,,,16.00,,4.62,,
1613454,1613454-2,I,A,C,0,0.0,,,,16.00,,,,
1613454,1613454-2,I,A,C,14,44.5,,,,16.00,,3.32,,
1613454,1613454-2,I,A,C,20,45.3,,,,16.00,,4.12,,
1613454,1613454-2,I,A,C,26,45.3,,,,16.00,,4.58,,
1613469,1613469-1,E,C,C,0,0.0,Warm Climate,Y,,16.20,N,1.51,5.47,
1613469,1613469-1,E,C,C,4,0.0,Warm Climate,Y,,16.20,N,1.56,4.45,
1613469,1613469-1,E,C,C,6,0.2,Warm Climate,Y,,16.20,N,1.58,3.94,
1613469,1613469-1,E,C,C,8,2.6,Warm Climate,Y,,16.20,N,1.61,3.42,
1613469,1613469-1,E,C,C,10,0.0,Warm Climate,Y,,16.20,N,1.59,3.04,
1613469,1613469-1,E,C,C,12,3.3,Warm Climate,Y,,16.20,N,1.59,2.87,
1613469,1613469-1,E,C,C,14,5.8,Warm Climate,Y,,16.20,N,1.54,2.87,
1613469,1613469-1,E,C,C,16,5.0,Warm Climate,Y,,16.20,N,1.49,3.19,
1613469,1613469-1,E,C,C,18,0.0,Warm Climate,Y,,16.20,N,1.53,3.68,
1613469,1613469-1,E,C,C,20,17.8,Warm Climate,Y,,16.20,N,1.54,3.87,
1613469,1613469-1,E,C,C,22,14.6,Warm Climate,Y,,16.20,N,1.54,4.77,
1613469,1613469-1,E,C,C,24,5.6,Warm Climate,Y,,16.20,N,1.56,5.18,
1613469,1613469-1,E,C,C,26,3.5,Warm Climate,Y,,16.20,N,,,
1613520,1613520-1,H,A,C,0,0.0,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,4,6.2,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,8,22.6,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,12,8.2,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,16,10.7,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,20,11.6,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,24,13.0,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,28,16.6,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,32,21.6,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,36,16.4,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,40,16.1,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,44,32.3,,Y,,16.00,,,,
1613520,1613520-1,H,A,C,48,26.6,,Y,,16.00,,,,
1613520,1613520-2,H,A,C,0,0.0,,Y,,16.00,,1.70,1.05,0.88
1613520,1613520-2,H,A,C,4,6.2,,Y,,16.00,,1.87,1.75,0.89
1613520,1613520-2,H,A,C,8,22.6,,Y,,16.00,,2.01,1.91,0.96
1613520,1613520-2,H,A,C,12,8.2,,Y,,16.00,,2.20,2.41,0.97
1613520,1613520-2,H,A,C,16,10.7,,Y,,16.00,,2.44,2.36,0.96
1613520,1613520-2,H,A,C,20,11.6,,Y,,16.00,,2.25,2.58,0.99
1613520,1613520-2,H,A,C,24,13.0,,Y,,16.00,,2.78,0.86,0.96
1613520,1613520-2,H,A,C,28,16.6,,Y,,16.00,,2.84,5.10,0.94
1613520,1613520-2,H,A,C,32,21.6,,Y,,16.00,,3.00,1.08,1.00
1613520,1613520-2,H,A,C,36,16.4,,Y,,16.00,,3.03,1.58,1.00
1613530,1613530-1,E,C,C,0,0.0,Warm Climate,Y,,16.20,N,1.54,4.09,0.10
1613530,1613530-1,E,C,C,4,0.0,Warm Climate,Y,,16.20,N,1.54,3.71,0.10
1613530,1613530-1,E,C,C,6,8.7,Warm Climate,Y,,16.20,N,1.54,3.53,0.10
1613530,1613530-1,E,C,C,8,13.3,Warm Climate,Y,,16.20,N,1.55,3.34,0.10
1613530,1613530-1,E,C,C,10,20.9,Warm Climate,Y,,16.20,N,1.48,4.77,0.12
1613530,1613530-1,E,C,C,12,4.3,Warm Climate,Y,,16.20,N,1.42,4.75,0.12
1613530,1613530-1,E,C,C,14,8.6,Warm Climate,Y,,16.20,N,1.54,3.69,0.10
1613530,1613530-1,E,C,C,16,13.3,Warm Climate,Y,,16.20,N,1.59,3.99,0.10
1613530,1613530-1,E,C,C,18,10.7,Warm Climate,Y,,16.20,N,1.53,3.78,0.10
1613530,1613530-1,E,C,C,20,4.1,Warm Climate,Y,,16.20,N,1.58,3.93,0.10
1613530,1613530-1,E,C,C,22,36.2,Warm Climate,Y,,16.20,N,1.53,3.96,0.10
1613530,1613530-1,E,C,C,24,25.7,Warm Climate,Y,,16.20,N,1.52,3.96,0.10
1613530,1613530-1,E,C,C,26,30.3,Warm Climate,Y,,16.20,N,,,
1613531,1613531-1,H,A,C,0,0.0,,N,,16.00,,2.15,20.78,0.91
1613531,1613531-1,H,A,C,4,0.0,,N,,16.00,,2.43,18.81,0.97
1613531,1613531-1,H,A,C,8,11.5,,N,,16.00,,3.22,20.82,1.00
1613531,1613531-1,H,A,C,12,34.6,,N,,16.00,,4.04,18.70,1.00
1613531,1613531-1,H,A,C,16,46.1,,N,,16.00,,4.48,18.94,1.00
1613531,1613531-1,H,A,C,20,46.1,,N,,16.00,,4.96,20.51,1.00
1613531,1613531-1,H,A,C,24,46.7,,N,,16.00,,5.22,20.24,1.00
1613606,1613606-1,E,C,C,0,0.0,Warm Climate,N,,8.50,N,1.82,20.89,0.19
1613606,1613606-1,E,C,C,12,34.1,Warm Climate,N,,8.50,N,1.74,20.79,0.51
1613606,1613606-1,E,C,C,14,25.8,Warm Climate,N,,8.50,N,1.71,20.60,0.52
1613606,1613606-1,E,C,C,16,35.0,Warm Climate,N,,8.50,N,,,
1613606,1613606-2,E,C,C,0,0.0,Warm Climate,Y,,8.50,N,1.57,6.77,0.11
1613606,1613606-2,E,C,C,12,0.0,Warm Climate,Y,,8.50,N,1.66,6.80,0.16
1613606,1613606-2,E,C,C,14,0.0,Warm Climate,Y,,8.50,N,1.77,6.97,0.24
1613606,1613606-2,E,C,C,16,4.1,Warm Climate,Y,,8.50,N,,,
1613611,1613611-1,F,A,C,0,0.0,Warm Climate,N,,18.00,,,,
1613611,1613611-1,F,A,C,20,6.7,Warm Climate,N,,18.00,,,,
1613611,1613611-1,F,A,C,22,0.0,Warm Climate,N,,18.00,,,,
1613611,1613611-1,F,A,C,24,23.5,Warm Climate,N,,18.00,,,,
1613611,1613611-1,F,A,C,26,5.5,Warm Climate,N,,18.00,,,,
1613611,1613611-2,F,A,C,0,0.0,Warm Climate,N,,18.00,,,,
1613611,1613611-2,F,A,C,20,5.5,Warm Climate,N,,18.00,,,,
1613611,1613611-2,F,A,C,22,3.2,Warm Climate,N,,16.00,,,,
1613611,1613611-2,F,A,C,24,0.0,Warm Climate,N,,16.00,,,,
1613611,1613611-2,F,A,C,26,0.0,Warm Climate,N,,16.00,,,,
1613616,1613616-1,B,A,A,0,0.0,Warm Climate,N,,16.00,,2.01,,
1613616,1613616-1,B,A,A,20,10.3,Warm Climate,N,,16.00,,3.55,,
1613616,1613616-1,B,A,A,22,11.0,Warm Climate,N,,16.00,,3.64,,
1613616,1613616-1,B,A,A,26,6.9,Warm Climate,N,,16.00,,,,
1613648,1613648-1,E,C,C,0,0.0,Cold Climate,Y,,16.20,N,1.52,9.05,
1613648,1613648-1,E,C,C,4,0.0,Cold Climate,Y,,16.20,N,1.51,9.59,
1613648,1613648-1,E,C,C,7,0.0,Cold Climate,Y,,16.20,N,1.51,10.00,
1613648,1613648-1,E,C,C,10,9.5,Cold Climate,Y,,16.20,N,1.51,10.41,
1613648,1613648-1,E,C,C,13,20.2,Cold Climate,Y,,16.20,N,1.55,3.62,
1613648,1613648-1,E,C,C,16,14.9,Cold Climate,Y,,16.20,N,1.57,5.90,
1613648,1613648-1,E,C,C,19,20.5,Cold Climate,Y,,16.20,N,1.70,7.81,
1613648,1613648-1,E,C,C,21,12.3,Cold Climate,Y,,16.20,N,1.61,9.02,
1613648,1613648-1,E,C,C,24,7.0,Cold Climate,Y,,16.20,N,1.52,10.41,
1613648,1613648-1,E,C,C,26,16.3,Cold Climate,Y,,16.20,N,,,
1613704,1613704-1,E,C,C,0,0.0,,,,16.00,,1.72,17.01,0.11
1613704,1613704-1,E,C,C,2,2.6,,,,16.00,,1.78,15.07,0.13
1613704,1613704-1,E,C,C,4,5.6,,,,16.00,,1.84,13.13,0.16
1613704,1613704-1,E,C,C,6,12.5,,,,16.00,,1.91,11.19,0.19
1613704,1613704-1,E,C,C,8,4.9,,,,16.00,,1.97,9.25,0.22
1613704,1613704-1,E,C,C,10,22.9,,,,16.00,,2.12,11.78,
1613704,1613704-1,E,C,C,12,15.8,,,,16.00,,2.08,13.98,
1613716,1613716-1,E,C,C,0,0.0,Warm Climate,Y,N,16.30,N,1.59,4.49,
1613716,1613716-1,E,C,C,10,4.9,Warm Climate,Y,N,16.30,N,1.72,9.10,0.34
1613716,1613716-1,E,C,C,12,24.2,Warm Climate,Y,N,16.30,N,1.68,8.79,0.13
1613716,1613716-1,E,C,C,14,33.0,Warm Climate,Y,N,16.30,N,1.78,8.64,0.12
1613782,1613782-1,B,A,A,0,0.0,,,,16.00,,2.38,,
1613782,1613782-1,B,A,A,12,0.0,,,,16.00,,2.73,,
1613782,1613782-1,B,A,A,20,7.7,,,,16.00,,2.87,,
1613782,1613782-1,B,A,A,22,8.3,,,,16.00,,2.88,,
1613782,1613782-1,B,A,A,24,24.3,,,,16.00,,3.04,,
1613782,1613782-1,B,A,A,26,11.0,,,,16.00,,2.94,,
1613782,1613782-1,B,A,A,28,14.2,,,,16.00,,3.17,,
1613793,1613793-1,B,A,A,0,0.0,,,,16.00,,1.35,,
1613793,1613793-1,B,A,A,12,0.0,,,,16.00,,2.39,,
1613793,1613793-1,B,A,A,20,13.7,,,,16.00,,2.34,,
1613793,1613793-1,B,A,A,22,6.4,,,,16.00,,3.11,,
1613793,1613793-1,B,A,A,24,2.6,,,,16.00,,2.11,,
1613793,1613793-1,B,A,A,26,8.1,,,,16.00,,2.28,,
1613793,1613793-1,B,A,A,28,1.3,,,,16.00,,2.37,,
1613878,1613878-1,F,A,C,0,0.0,,Y,,16.00,,2.16,6.01,
1613878,1613878-1,F,A,C,2,0.0,,Y,,16.00,,2.29,2.30,
1613878,1613878-1,F,A,C,8,0.0,,Y,,16.00,,2.22,3.66,
1613878,1613878-1,F,A,C,12,0.0,,Y,,16.00,,2.33,3.65,
1613878,1613878-1,F,A,C,16,0.1,,Y,,16.00,,2.16,4.92,
1613878,1613878-1,F,A,C,18,0.0,,Y,,16.00,,2.20,10.08,
1613878,1613878-1,F,A,C,20,0.0,,Y,,16.00,,2.25,5.39,
1613878,1613878-1,F,A,C,22,3.4,,Y,,16.00,,2.40,7.88,
1613878,1613878-1,F,A,C,24,1.6,,Y,,16.00,,2.34,4.45,
1613878,1613878-1,F,A,C,26,7.4,,Y,,16.00,,2.38,21.33,
1613998,1613998-1,G,A,A,0,0.0,,Y,,16.00,,0.53,,
1613998,1613998-1,G,A,A,5,21.9,,Y,,16.00,,0.66,,
1613998,1613998-1,G,A,A,8,14.3,,Y,,16.00,,0.78,7.71,
1613998,1613998-1,G,A,A,9,19.8,,Y,,16.00,,0.79,9.01,
1613998,1613998-1,G,A,A,10,11.2,,Y,,16.00,,0.74,4.45,
1613998,1613998-1,G,A,A,11,23.9,,Y,,16.00,,0.79,8.56,
1613998,1613998-1,G,A,A,13,32.2,,Y,,16.00,,0.73,8.88,
1614028,1614028-1,C,A,B,0,0.0,,N,,16.00,,,,
1614028,1614028-1,C,A,B,16,10.3,,N,,16.00,,1.62,,
1614028,1614028-1,C,A,B,18,27.6,,N,,16.00,,1.78,,
1614028,1614028-1,C,A,B,20,21.2,,N,,16.00,,1.64,,
1614242,1614242-1,H,A,C,0,0.0,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,8,12.1,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,12,9.5,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,16,25.1,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,19,10.8,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,22,31.2,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,26,21.6,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,28,14.7,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,32,17.6,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,36,19.4,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,38,17.6,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,42,10.5,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,46,26.4,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,48,18.3,Warm Climate,N,,18.00,Y,,,
1614242,1614242-1,H,A,C,52,19.2,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,0,0.0,Warm Climate,N,,18.00,Y,2.33,19.47,0.12
1614242,1614242-2,H,A,C,8,6.6,Warm Climate,N,,18.00,Y,2.01,20.71,1.00
1614242,1614242-2,H,A,C,12,20.0,Warm Climate,N,,18.00,Y,2.38,20.67,1.00
1614242,1614242-2,H,A,C,16,18.6,Warm Climate,N,,18.00,Y,2.06,17.23,1.00
1614242,1614242-2,H,A,C,19,30.3,Warm Climate,N,,18.00,Y,1.90,20.48,1.00
1614242,1614242-2,H,A,C,22,32.0,Warm Climate,N,,18.00,Y,2.00,20.74,1.00
1614242,1614242-2,H,A,C,26,32.8,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,28,25.9,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,32,0.0,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,36,6.6,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,38,22.7,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,42,18.3,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,46,17.9,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,48,11.6,Warm Climate,N,,18.00,Y,,,
1614242,1614242-2,H,A,C,52,31.2,Warm Climate,N,,18.00,Y,,,
1614359,1614359-1-Southern,A,D,A,0,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,6,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,9,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,13,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,16,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,19,13.1,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,22,15.5,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,25,2.2,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,28,14.5,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,31,20.4,Warm Climate,,,16.00,,,,
1614359,1614359-1-Southern,A,D,A,34,21.4,Warm Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,0,0.0,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,37,15.8,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,40,15.8,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,42,19.0,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,46,24.2,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,49,25.1,Cold Climate,,,16.00,,,,
1614359,1614359-1-Northern,A,D,A,52,23.9,Cold Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,0,0.0,Warm Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,6,5.4,Warm Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,9,8.1,Warm Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,13,8.8,Warm Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,16,0.9,Warm Climate,,,16.00,,,,
1614359,1614359-2-Southern,A,D,A,19,0.3,Warm Climate,,,16.00,,,,
